"tags";"n"
"1";"Token";656
"2";"Coin";271
"3";"Mineable";128
"4";"Platform";57
"5";"Marketplace";37
"6";"PoW";35
"7";"Payments";34
"8";"DeFi";33
"9";"Smart Contracts";25
"10";"Medium of Exchange";21
"11";"Scrypt";21
"12";"Hybrid - PoW & PoS";20
"13";"Asset management";19
"14";"Services";14
"15";"AI & Big Data";13
"16";"Content Creation";13
"17";"Enterprise solutions";13
"18";"Media";13
"19";"Distributed Computing";12
"20";"Collectibles & NFTs";11
"21";"Ethereum";11
"22";"PoS";10
"23";"Privacy";10
"24";"Stablecoin";10
"25";"Discount token";9
"26";"SHA-256";9
"27";"Stablecoin - Asset-Backed";9
"28";"Store of Value";9
"29";"Substrate";9
"30";"DApp";8
"31";"Filesharing";7
"32";"Technology";7
"33";"Crowdfunding";6
"34";"Gaming";6
"35";"Marketing";6
"36";"Staking";6
"37";"Binance Chain";5
"38";"Binance Smart Chain";5
"39";"Centralized exchange";5
"40";"IoT";5
"41";"Logistics";5
"42";"Masternodes";5
"43";"Polkadot";5
"44";"Research";5
"45";"Sharing Economy";5
"46";"Wallet";5
"47";"Yield farming";5
"48";"DAO";4
"49";"Ethash";4
"50";"Identity";4
"51";"Interoperability";4
"52";"IPFS";4
"53";"Oracles";4
"54";"Quark";4
"55";"Real Estate";4
"56";"X11";4
"57";"Commodities";3
"58";"Data Provenance";3
"59";"Decentralized exchange";3
"60";"DPoS";3
"61";"E-commerce";3
"62";"Entertainment";3
"63";"Gambling";3
"64";"Memes";3
"65";"Prediction Markets";3
"66";"Reputation";3
"67";"State channels";3
"68";"Atomic Swaps";2
"69";"Communications & Social Media";2
"70";"Crowdsourcing";2
"71";"Cybersecurity";2
"72";"Energy";2
"73";"Equihash";2
"74";"Health";2
"75";"Jobs";2
"76";"Loyalty";2
"77";"Transport";2
"78";"Video";2
"79";"X13";2
"80";"Blake";1
"81";"BLAKE256";1
"82";"Blake2b";1
"83";"China";1
"84";"CryptoNight-Lite";1
"85";"DAG";1
"86";"Dagger-Hashimoto";1
"87";"Derivatives";1
"88";"Education";1
"89";"Escrow";1
"90";"Food & Beverage";1
"91";"Geospatial services";1
"92";"Hardware";1
"93";"HMQ1725";1
"94";"Hospitality";1
"95";"Hybrid - PoS & PoP";1
"96";"Insurance";1
"97";"LPoS";1
"98";"Lyra2RE";1
"99";"Multiple";1
"100";"NEM";1
"101";"NeoScrypt";1
"102";"NIST5";1
"103";"Philanthropy";1
"104";"PoA";1
"105";"PoI";1
"106";"POS 3.0";1
"107";"PoST";1
"108";"QuBit";1
"109";"Retail";1
"110";"RingCT";1
"111";"Scaling";1
"112";"Scrypt-n";1
"113";"Search Engine";1
"114";"Singapore";1
"115";"Sports";1
"116";"Stablecoin - Algorithmically-Stabilized";1
"117";"Virgin Islands (British)";1
"118";"X11GOST";1
"119";"X14";1
"120";"XEVAN";1
